epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,15831,1.41277,0.78377,1.1114,0.90709,0.89551,0.94942,0.61105,1.28788,0.7045,1.04224,0.000292905,0.000292905,0.000292905
55,16134.1,1.39603,0.77094,1.10567,0.90641,0.89757,0.95101,0.60579,1.30868,0.70255,1.04762,0.000276813,0.000276813,0.000276813
56,16426.8,1.40683,0.78015,1.10634,0.90529,0.90027,0.95172,0.60998,1.29995,0.70258,1.04711,0.000261104,0.000261104,0.000261104
57,16720.4,1.39588,0.77319,1.10126,0.91096,0.90422,0.95438,0.61644,1.28542,0.68491,1.03825,0.000245802,0.000245802,0.000245802
58,17015.4,1.39664,0.76992,1.10207,0.9036,0.90344,0.95165,0.6139,1.28887,0.69665,1.0419,0.00023093,0.00023093,0.00023093
59,17307.6,1.39117,0.76301,1.10182,0.90933,0.89717,0.95149,0.61491,1.28914,0.70009,1.04177,0.000216512,0.000216512,0.000216512
60,17604.7,1.38778,0.76102,1.09881,0.90547,0.89784,0.94966,0.61471,1.27613,0.70238,1.03785,0.00020257,0.00020257,0.00020257
61,17894,1.38622,0.76182,1.09508,0.91245,0.90438,0.95504,0.62382,1.26105,0.67813,1.03171,0.000189124,0.000189124,0.000189124
62,18187.2,1.37569,0.75466,1.09382,0.90874,0.90263,0.95417,0.62469,1.26226,0.68337,1.03125,0.000176197,0.000176197,0.000176197
63,18476.5,1.38479,0.76096,1.09328,0.9094,0.90381,0.95446,0.62607,1.25152,0.68131,1.02937,0.000163807,0.000163807,0.000163807
64,18775,1.37162,0.75267,1.09302,0.90763,0.9014,0.95398,0.62105,1.26661,0.68467,1.03243,0.000151974,0.000151974,0.000151974
65,19070.6,1.3747,0.75622,1.09452,0.90771,0.9039,0.954,0.61979,1.26898,0.6843,1.03361,0.000140717,0.000140717,0.000140717
66,19361.3,1.37453,0.75432,1.09199,0.91094,0.9029,0.95457,0.6229,1.26543,0.68273,1.03262,0.000130052,0.000130052,0.000130052
67,19655.3,1.36895,0.74949,1.08978,0.90724,0.91039,0.95593,0.62675,1.25715,0.67429,1.02865,0.000119996,0.000119996,0.000119996
68,19935.6,1.37828,0.75821,1.08924,0.91323,0.90675,0.95582,0.62967,1.24909,0.67127,1.02619,0.000110564,0.000110564,0.000110564
